id	label	result_type	name	category	description	method_type	input	output	next_node	next_yes	next_no	guidance	comments
E0006	DP14EF_01	bool	Prediction of exposure estimate acceptable?	LOGICAL	Provide the exposure estimates relevant for the problem formulation. Include a (qualitative) description of the uncertainties in the current exposure assessment, including uncertainties introduced by the choice and limitations of the exposure model as well as by the quality and variability of the input data. Clearly identify key sources of uncertainty and discuss their potential impact on the assessment outcome.	Systematically identify and list sources of uncertainty related to input parameters (e.g., vagueness, variability, and data gaps) and the exposure model itself. Where possible, perform a sensitivity analysis to determine which parameters most strongly influence the results. Summarize and prioritize uncertainties based on their potential impact on the overall exposure assessment. If applicable, consider qualitative ranking (e.g., low/medium/high uncertainty) for each identified source.	"Consider referencing guidance documents (e.g., ECHA or EFSA uncertainty analysis frameworks) for further structure and make a template or checklist for reporting uncertainties
"			X0002	E0007	BB023	
E0007	OP060_01	text	Select best approach for refinement	OPERATOR					E0008			DP17	
E0008	BB023_01	text	Refinement of aggregate exposure	TASK	No - Refine the exposure estimate in line with the problem formulation through an iterative process. This may involve incorporating new data, improving models, and reducing uncertainties by collecting additional information or applying more realistic scenarios for the population of interest. Refinement can also include the use of NAM-derived ADME parameters (such as bioaccumulation and excretion rates, e.g., BB006) and consideration of timing and duration of each exposure event. The goal is to enhance the accuracy and reliability of the aggregate exposure assessment over time..	"Refinement of the exposure estimate can be achieved at different levels, depending on data availability and the needs of the assessment:
- Adjust frequency and duration of exposure based on new or more detailed information about use patterns or scenarios.
- Refine dermal exposure estimates by specifying the contact area.
- Incorporate the impact of risk management measures (RMM), such as ventilation, personal protective equipment, or containment.
- Use more realistic timing and sequence of exposure events to improve aggregate exposure estimates.
Document each refinement step and the rationale for changes to ensure transparency."		Information from ADME if specification of frequeny/duration is relevant	E0009	 		No: OP061; Yes: OP026	
E0009	DP17EF_01	bool	Prediction of exposure estimate acceptable?	LOGICAL	Provide the exposure estimates relevant for the problem formulation. Include a (qualitative) description of the uncertainties in the current exposure assessment, including uncertainties introduced by the choice and limitations of the exposure model as well as by the quality and variability of the input data. Clearly identify key sources of uncertainty and discuss their potential impact on the assessment outcome.	Systematically identify and list sources of uncertainty related to input parameters (e.g., vagueness, variability, and data gaps) and the exposure model itself. Where possible, perform a sensitivity analysis to determine which parameters most strongly influence the results. Summarize and prioritize uncertainties based on their potential impact on the overall exposure assessment. If applicable, consider qualitative ranking (e.g., low/medium/high uncertainty) for each identified source.	"Consider referencing guidance documents (e.g., ECHA or EFSA uncertainty analysis frameworks) for further structure and make a template or checklist for reporting uncertainties
"			X0002	E0010	BB050	
E0010	OP061_01	text	Select best approach for further refinement	OPERATOR					E0011			OP026	
E0011	BB050_01	text	Refinement of aggregate exposure	TASK	Refine the exposure estimate in line with the problem formulation. This may involve incorporating new data, improving models, and reducing uncertainties by collecting additional information or applying more realistic scenarios for the population of interest. Refinement can also include the use of NAM-derived ADME parameters (such as bioaccumulation and excretion rates, e.g., BB006) and consideration of timing and duration of each exposure event. The goal is to enhance the accuracy and reliability of the aggregate exposure assessment over time..	"Refinement of the exposure estimate can be achieved at different levels, depending on data availability and the needs of the assessment:
- Adjust frequency and duration of exposure based on new or more detailed information about use patterns or scenarios.
- Refine dermal exposure estimates by specifying the contact area.
- Incorporate the impact of risk management measures (RMM), such as ventilation, personal protective equipment, or containment.
- Use more realistic timing and sequence of exposure events to improve aggregate exposure estimates.
Document each refinement step and the rationale for changes to ensure transparency."		Information from ADME if specification of frequeny/duration is relevant	X0002	 			
X0001	BB025_01	text	Calculate appropriate human equivalent concentration/dose	TASK	 Calculate human equivalent concentration/dose,?e.g. in plasma or target organ, using the PoD and ADME information				X0002	 	 		
X0002	OP026_01	text	Compare hazard and exposure reference values (where appropriate)	OPERATOR					X0003	 	 		
X0003	DP19EF_01	bool	Is the assessment sufficient?	LOGICAL						 X0004	Q0001		
X0004	REPORT_06	text	Report	END						 	 		
Q0001	OMEGA	text	Consider aspects for improvement and reenter the ASPA workflow	TASK	DEVELOPMENT ONLY				Q0002				
Q0002	OMEGA_02	text	Report	END									
